Outlet_Size,Outlet_Location_Type,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Type,Item_Outlet_Sales
Small,Tier 1,Regular,0.082266419,Baking Goods,48.8034,OUT046,Supermarket Type1,340.2238
Medium,Tier 1,Low Fat,0.055514919,Household,112.5518,OUT049,Supermarket Type1,341.5554
High,Tier 3,Regular,0.012741089,Snack Foods,57.6588,OUT013,Supermarket Type1,343.5528
Medium,Tier 3,Regular,0.082737261,Frozen Foods,57.3588,OUT018,Supermarket Type2,343.5528
Medium,Tier 1,Regular,0.030616757,Fruits and Vegetables,112.7176,OUT049,Supermarket Type1,343.5528
High,Tier 3,Regular,0.082333019,Frozen Foods,58.1588,OUT013,Supermarket Type1,343.5528
Small,Tier 2,Low Fat,0.097198194,Dairy,89.8856,OUT035,Supermarket Type1,351.5424
Small,Tier 1,Regular,0.0,Soft Drinks,39.3822,OUT046,Supermarket Type1,353.5398
Small,Tier 2,Low Fat,0.054046706,Snack Foods,119.5466,OUT035,Supermarket Type1,353.5398
High,Tier 3,Low Fat,0.032075379,Canned,50.9008,OUT013,Supermarket Type1,354.2056
Medium,Tier 3,Low Fat,0.124959013,Frozen Foods,116.5124,OUT018,Supermarket Type2,355.5372
Small,Tier 1,Regular,0.067872402,Dairy,57.8562,OUT046,Supermarket Type1,355.5372
High,Tier 3,Regular,0.061992874,Snack Foods,60.9562,OUT013,Supermarket Type1,355.5372
Small,Tier 1,Low Fat,0.07113587,Health and Hygiene,42.7086,OUT046,Supermarket Type1,356.8688
High,Tier 3,Low Fat,0.062235983,Starchy Foods,34.5532,OUT013,Supermarket Type1,359.532
Medium,Tier 3,Regular,0.06358934,Dairy,179.4318,OUT018,Supermarket Type2,360.8636
Small,Tier 2,Low Fat,0.045299563,Dairy,38.8138,OUT035,Supermarket Type1,365.5242
Small,Tier 1,Regular,0.026358005,Canned,39.6138,OUT046,Supermarket Type1,365.5242
Small,Tier 1,Low Fat,0.161489509,Fruits and Vegetables,37.619,OUT046,Supermarket Type1,366.19
Medium,Tier 3,Low Fat,0.042056944,Soft Drinks,31.89,OUT018,Supermarket Type2,366.19
Medium,Tier 3,Low Fat,0.013898123,Soft Drinks,46.506,OUT018,Supermarket Type2,372.848
Medium,Tier 3,Low Fat,0.064022881,Household,36.0848,OUT018,Supermarket Type2,372.848
Medium,Tier 1,Regular,0.076839735,Snack Foods,34.9558,OUT049,Supermarket Type1,373.5138
High,Tier 3,Regular,0.042277867,Canned,126.5046,OUT013,Supermarket Type1,373.5138
High,Tier 3,Low Fat,0.051618281,Breads,31.9558,OUT013,Supermarket Type1,373.5138
Medium,Tier 3,Low Fat,0.028711412,Fruits and Vegetables,39.9454,OUT018,Supermarket Type2,377.5086
Small,Tier 2,Low Fat,0.029686148,Baking Goods,96.4436,OUT035,Supermarket Type1,378.1744
High,Tier 3,Low Fat,0.037923509,Frozen Foods,61.651,OUT013,Supermarket Type1,379.506
Medium,Tier 3,Low Fat,0.027827268,Health and Hygiene,65.6168,OUT018,Supermarket Type2,383.5008
Small,Tier 2,Low Fat,0.139202085,Canned,46.1376,OUT035,Supermarket Type1,383.5008
Medium,Tier 3,Regular,0.16216286,Fruits and Vegetables,62.2168,OUT018,Supermarket Type2,383.5008
Small,Tier 1,Low Fat,0.066681333,Household,194.4478,OUT046,Supermarket Type1,387.4956
Medium,Tier 3,Regular,0.086184647,Frozen Foods,50.9692,OUT018,Supermarket Type2,394.1536
Medium,Tier 1,Regular,0.125419157,Breakfast,40.048,OUT049,Supermarket Type1,399.48
Medium,Tier 1,Regular,0.008046878,Frozen Foods,78.7618,OUT049,Supermarket Type1,402.809
Small,Tier 2,Low Fat,0.008539208,Baking Goods,81.2618,OUT035,Supermarket Type1,402.809
Medium,Tier 1,Low Fat,0.032152004,Canned,50.6008,OUT049,Supermarket Type1,404.8064
Medium,Tier 3,Low Fat,0.0,Baking Goods,43.6744,OUT018,Supermarket Type2,407.4696
Small,Tier 2,Regular,0.0,Baking Goods,51.2666,OUT035,Supermarket Type1,410.1328
Medium,Tier 3,Low Fat,0.073709686,Seafood,35.1216,OUT018,Supermarket Type2,415.4592
Small,Tier 2,Low Fat,0.120520818,Fruits and Vegetables,45.906,OUT035,Supermarket Type1,419.454
High,Tier 3,Low Fat,0.016720132,Meat,139.918,OUT013,Supermarket Type1,419.454
Small,Tier 1,Low Fat,0.05629192,Frozen Foods,42.5454,OUT046,Supermarket Type1,419.454
Medium,Tier 3,Regular,0.114318263,Breads,142.2838,OUT018,Supermarket Type2,421.4514
Small,Tier 2,Low Fat,0.056921876,Baking Goods,107.1622,OUT035,Supermarket Type1,423.4488
Medium,Tier 3,Low Fat,0.024325592,Dairy,48.5718,OUT018,Supermarket Type2,425.4462
Medium,Tier 1,Low Fat,0.080417724,Household,48.8718,OUT049,Supermarket Type1,425.4462
Small,Tier 2,Regular,0.109075742,Soft Drinks,42.9112,OUT035,Supermarket Type1,426.112
Medium,Tier 3,Low Fat,0.070856383,Household,217.4192,OUT018,Supermarket Type2,431.4384
Small,Tier 1,Low Fat,0.032180494,Meat,61.2194,OUT046,Supermarket Type1,433.4358
Medium,Tier 1,Low Fat,0.0,Health and Hygiene,47.8034,OUT049,Supermarket Type1,437.4306
High,Tier 3,Low Fat,0.038422076,Dairy,62.5852,OUT013,Supermarket Type1,438.0964
Small,Tier 2,Low Fat,0.08131178,Others,37.819,OUT035,Supermarket Type1,439.428
Medium,Tier 3,Low Fat,0.108470504,Household,33.4558,OUT018,Supermarket Type2,441.4254
Medium,Tier 3,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Supermarket Type2,443.4228
Small,Tier 1,Low Fat,0.035943717,Soft Drinks,40.5138,OUT046,Supermarket Type1,446.7518
Medium,Tier 3,Regular,0.048339408,Baking Goods,41.5138,OUT018,Supermarket Type2,446.7518
Medium,Tier 3,Low Fat,0.0249887,Household,150.3392,OUT018,Supermarket Type2,447.4176
Medium,Tier 3,Low Fat,0.013869039,Frozen Foods,62.5168,OUT018,Supermarket Type2,447.4176
Small,Tier 1,Low Fat,0.023971463,Fruits and Vegetables,54.0272,OUT046,Supermarket Type1,447.4176
High,Tier 3,Low Fat,0.184689756,Household,35.4216,OUT013,Supermarket Type1,450.0808
Medium,Tier 1,Low Fat,0.037690731,Baking Goods,73.3354,OUT049,Supermarket Type1,451.4124
Medium,Tier 3,Low Fat,0.112681821,Hard Drinks,113.986,OUT018,Supermarket Type2,452.744
Medium,Tier 1,Regular,0.028167478,Fruits and Vegetables,45.5744,OUT049,Supermarket Type1,452.744
Medium,Tier 1,Low Fat,0.120139206,Dairy,45.0744,OUT049,Supermarket Type1,452.744
Medium,Tier 3,Low Fat,0.03549838,Fruits and Vegetables,36.6506,OUT018,Supermarket Type2,455.4072
Small,Tier 1,Low Fat,0.090191431,Household,112.9176,OUT046,Supermarket Type1,458.0704
Medium,Tier 1,Low Fat,0.01532563,Snack Foods,153.434,OUT049,Supermarket Type1,459.402
Medium,Tier 3,Low Fat,0.065898197,Frozen Foods,46.1402,OUT018,Supermarket Type2,459.402
High,Tier 3,Regular,0.063121982,Frozen Foods,231.7668,OUT013,Supermarket Type1,460.7336
Medium,Tier 3,Low Fat,0.021413346,Household,76.2328,OUT018,Supermarket Type2,463.3968
High,Tier 3,Regular,0.070645636,Snack Foods,91.212,OUT013,Supermarket Type1,466.06
Medium,Tier 1,Regular,0.026561057,Canned,93.712,OUT049,Supermarket Type1,466.06
Small,Tier 2,Low Fat,0.0,Soft Drinks,52.2324,OUT035,Supermarket Type1,467.3916
Medium,Tier 3,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,Supermarket Type2,467.3916
Small,Tier 1,Low Fat,0.020487625,Household,44.0112,OUT046,Supermarket Type1,468.7232
Medium,Tier 3,Low Fat,0.080619969,Household,47.4718,OUT018,Supermarket Type2,472.718
Small,Tier 2,Low Fat,0.05606697,Seafood,50.7982,OUT035,Supermarket Type1,473.3838
Medium,Tier 1,Low Fat,0.05616476,Seafood,51.8982,OUT049,Supermarket Type1,473.3838
Small,Tier 1,Low Fat,0.038925251,Soft Drinks,34.919,OUT046,Supermarket Type1,476.047
High,Tier 3,Low Fat,0.022380952,Fruits and Vegetables,93.6094,OUT013,Supermarket Type1,476.047
Medium,Tier 1,Low Fat,0.01404119,Frozen Foods,38.419,OUT049,Supermarket Type1,476.047
Small,Tier 2,Regular,0.007145063,Snack Foods,41.048,OUT035,Supermarket Type1,479.376
Small,Tier 1,Low Fat,0.0,Soft Drinks,96.6752,OUT046,Supermarket Type1,479.376
Medium,Tier 3,Low Fat,0.025583714,Dairy,239.1538,OUT018,Supermarket Type2,480.7076
Small,Tier 1,Low Fat,0.076855628,Snack Foods,161.0236,OUT046,Supermarket Type1,483.3708
High,Tier 3,Low Fat,0.046545786,Hard Drinks,59.9878,OUT013,Supermarket Type1,484.7024
Medium,Tier 3,Regular,0.041098734,Fruits and Vegetables,80.9276,OUT018,Supermarket Type2,487.3656
Medium,Tier 3,Low Fat,0.0,Frozen Foods,123.2414,OUT018,Supermarket Type2,487.3656
Small,Tier 2,Regular,0.034404732,Baking Goods,98.1726,OUT035,Supermarket Type1,489.363
Medium,Tier 1,Low Fat,0.104840884,Frozen Foods,122.1072,OUT049,Supermarket Type1,490.0288
Medium,Tier 1,Low Fat,0.076975118,Fruits and Vegetables,46.2086,OUT049,Supermarket Type1,490.6946
Small,Tier 2,Low Fat,0.1017546,Dairy,55.1956,OUT035,Supermarket Type1,491.3604
Medium,Tier 3,Low Fat,0.057546914,Snack Foods,55.8956,OUT018,Supermarket Type2,491.3604
Medium,Tier 3,Low Fat,0.076866235,Household,247.146,OUT018,Supermarket Type2,492.692
Small,Tier 1,Regular,0.030151351,Baking Goods,98.7384,OUT046,Supermarket Type1,492.692
Small,Tier 2,Low Fat,0.024190156,Dairy,34.4874,OUT035,Supermarket Type1,494.0236
High,Tier 3,Low Fat,0.075495088,Hard Drinks,55.3614,OUT013,Supermarket Type1,497.3526
High,Tier 3,Low Fat,0.119852889,Dairy,44.9744,OUT013,Supermarket Type1,498.0184
Small,Tier 2,Low Fat,0.0,Frozen Foods,38.3164,OUT035,Supermarket Type1,502.0132
Small,Tier 1,Regular,0.056386541,Breads,84.6908,OUT046,Supermarket Type1,503.3448
Medium,Tier 1,Low Fat,0.044291251,Frozen Foods,43.3454,OUT049,Supermarket Type1,503.3448
Small,Tier 1,Low Fat,0.095795326,Frozen Foods,128.4678,OUT046,Supermarket Type1,508.6712
Medium,Tier 3,Low Fat,0.054863459,Health and Hygiene,58.393,OUT018,Supermarket Type2,509.337
Small,Tier 1,Regular,0.109096371,Soft Drinks,44.6112,OUT046,Supermarket Type1,511.3344
Medium,Tier 3,Regular,0.04731256,Frozen Foods,50.7666,OUT018,Supermarket Type2,512.666
Medium,Tier 1,Regular,0.055805027,Baking Goods,53.0666,OUT049,Supermarket Type1,512.666
Medium,Tier 3,Low Fat,0.060792265,Dairy,170.4106,OUT018,Supermarket Type2,513.3318
Medium,Tier 3,Low Fat,0.029565309,Household,256.4646,OUT018,Supermarket Type2,515.3292
High,Tier 3,Regular,0.058681957,Baking Goods,170.4422,OUT013,Supermarket Type1,517.3266
Medium,Tier 3,Regular,0.011472001,Snack Foods,75.2038,OUT018,Supermarket Type2,517.3266
Small,Tier 1,Low Fat,0.033088472,Meat,175.4738,OUT046,Supermarket Type1,521.3214
High,Tier 3,Low Fat,0.012138795,Fruits and Vegetables,39.2848,OUT013,Supermarket Type1,521.9872
Medium,Tier 3,Low Fat,0.175060504,Snack Foods,106.7964,OUT018,Supermarket Type2,525.982
Small,Tier 1,Regular,0.054378253,Canned,59.1904,OUT046,Supermarket Type1,527.3136
Small,Tier 1,Low Fat,0.136810742,Dairy,263.0568,OUT046,Supermarket Type1,527.3136
High,Tier 3,Regular,0.041536962,Frozen Foods,46.0376,OUT013,Supermarket Type1,527.3136
Medium,Tier 3,Low Fat,0.045492697,Dairy,40.3138,OUT018,Supermarket Type2,527.9794
Small,Tier 2,Low Fat,0.155350299,Snack Foods,178.237,OUT035,Supermarket Type1,529.311
Medium,Tier 1,Low Fat,0.048134591,Household,107.7622,OUT049,Supermarket Type1,529.311
Small,Tier 2,Regular,0.082250863,Baking Goods,48.7034,OUT035,Supermarket Type1,534.6374
High,Tier 3,Low Fat,0.037465846,Baking Goods,47.5034,OUT013,Supermarket Type1,534.6374
High,Tier 3,Regular,0.045982389,Snack Foods,177.0344,OUT013,Supermarket Type1,535.3032
Medium,Tier 3,Regular,0.014144442,Frozen Foods,180.4344,OUT018,Supermarket Type2,535.3032
Medium,Tier 3,Low Fat,0.123531974,Meat,108.2938,OUT018,Supermarket Type2,535.969
Medium,Tier 1,Low Fat,0.027106459,Meat,75.367,OUT049,Supermarket Type1,535.969
High,Tier 3,Regular,0.062799379,Baking Goods,88.183,OUT013,Supermarket Type1,539.298
Medium,Tier 3,Regular,0.134037,Baking Goods,53.3298,OUT018,Supermarket Type2,539.298
Medium,Tier 1,Low Fat,0.041459804,Fruits and Vegetables,39.2164,OUT049,Supermarket Type1,540.6296
Small,Tier 2,Low Fat,0.081996785,Baking Goods,40.1164,OUT035,Supermarket Type1,540.6296
Small,Tier 1,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,Supermarket Type1,540.6296
Small,Tier 1,Low Fat,0.043234574,Starchy Foods,38.3164,OUT046,Supermarket Type1,540.6296
Small,Tier 1,Low Fat,0.098993139,Frozen Foods,39.3164,OUT046,Supermarket Type1,540.6296
Medium,Tier 3,Low Fat,0.058632705,Snack Foods,46.4744,OUT018,Supermarket Type2,543.2928
Small,Tier 1,Low Fat,0.0,Snack Foods,43.4744,OUT046,Supermarket Type1,543.2928
Medium,Tier 3,Low Fat,0.0,Fruits and Vegetables,109.1912,OUT018,Supermarket Type2,545.956
Medium,Tier 3,Low Fat,0.162147349,Fruits and Vegetables,37.719,OUT018,Supermarket Type2,549.285
Medium,Tier 1,Low Fat,0.0,Household,53.2614,OUT049,Supermarket Type1,552.614
Medium,Tier 3,Regular,0.0,Breakfast,55.2614,OUT018,Supermarket Type2,552.614
Medium,Tier 3,Low Fat,0.026428924,Frozen Foods,78.2302,OUT018,Supermarket Type2,554.6114
High,Tier 3,Regular,0.127821472,Soft Drinks,185.9924,OUT013,Supermarket Type1,555.2772
Medium,Tier 3,Regular,0.0,Baking Goods,51.4008,OUT018,Supermarket Type2,556.6088
Medium,Tier 1,Regular,0.020908608,Snack Foods,63.5194,OUT049,Supermarket Type1,557.2746
Medium,Tier 3,Low Fat,0.099729888,Household,46.306,OUT018,Supermarket Type2,559.272
Medium,Tier 3,Low Fat,0.035801238,Health and Hygiene,92.612,OUT018,Supermarket Type2,559.272
Medium,Tier 3,Regular,0.130031207,Snack Foods,142.4838,OUT018,Supermarket Type2,561.9352
Medium,Tier 1,Low Fat,0.053455158,Soft Drinks,43.677,OUT049,Supermarket Type1,562.601
Medium,Tier 1,Regular,0.099286298,Snack Foods,49.8666,OUT049,Supermarket Type1,563.9326
Medium,Tier 3,Low Fat,0.111727876,Baking Goods,33.9874,OUT018,Supermarket Type2,564.5984
Medium,Tier 1,Regular,0.045337184,Baking Goods,36.8874,OUT049,Supermarket Type1,564.5984
Medium,Tier 3,Low Fat,0.0,Dairy,42.0138,OUT018,Supermarket Type2,568.5932
Small,Tier 1,Low Fat,0.071846495,Hard Drinks,37.9506,OUT046,Supermarket Type1,569.259
Small,Tier 2,Regular,0.007043008,Soft Drinks,190.353,OUT035,Supermarket Type1,569.259
Small,Tier 1,Low Fat,0.020547951,Fruits and Vegetables,51.2324,OUT046,Supermarket Type1,571.2564
High,Tier 3,Low Fat,0.025947095,Household,46.9376,OUT013,Supermarket Type1,575.2512
High,Tier 3,Low Fat,0.0,Canned,46.5376,OUT013,Supermarket Type1,575.2512
Medium,Tier 3,Low Fat,0.026074491,Household,48.6376,OUT018,Supermarket Type2,575.2512
Small,Tier 2,Regular,0.109971578,Fruits and Vegetables,82.7592,OUT035,Supermarket Type1,577.9144
Medium,Tier 1,Low Fat,0.019402371,Hard Drinks,38.7164,OUT049,Supermarket Type1,579.246
Small,Tier 2,Low Fat,0.00721395,Baking Goods,47.9034,OUT035,Supermarket Type1,583.2408
Medium,Tier 1,Regular,0.043968652,Starchy Foods,57.6904,OUT049,Supermarket Type1,585.904
High,Tier 3,Low Fat,0.161355122,Fruits and Vegetables,38.319,OUT013,Supermarket Type1,585.904
Small,Tier 1,Low Fat,0.107597879,Soft Drinks,58.7904,OUT046,Supermarket Type1,585.904
Medium,Tier 3,Low Fat,0.08165845,Others,35.019,OUT018,Supermarket Type2,585.904
High,Tier 3,Regular,0.121485195,Baking Goods,40.2454,OUT013,Supermarket Type1,587.2356
Medium,Tier 1,Regular,0.15717236,Snack Foods,149.1418,OUT049,Supermarket Type1,588.5672
High,Tier 3,Low Fat,0.08982696,Fruits and Vegetables,197.111,OUT013,Supermarket Type1,589.233
High,Tier 3,Low Fat,0.171245426,Fruits and Vegetables,50.3692,OUT013,Supermarket Type1,591.2304
High,Tier 3,Low Fat,0.046520703,Health and Hygiene,97.7384,OUT013,Supermarket Type1,591.2304
Medium,Tier 3,Low Fat,0.046673494,Fruits and Vegetables,48.4692,OUT018,Supermarket Type2,591.2304
Medium,Tier 3,Low Fat,0.057771828,Dairy,85.3566,OUT018,Supermarket Type2,591.8962
Medium,Tier 3,Regular,0.062297249,Snack Foods,60.6562,OUT018,Supermarket Type2,592.562
High,Tier 3,Regular,0.029535852,Baking Goods,67.5142,OUT013,Supermarket Type1,593.2278
Small,Tier 2,Regular,0.083498083,Canned,199.4426,OUT035,Supermarket Type1,593.2278
High,Tier 3,Low Fat,0.054585372,Health and Hygiene,196.5084,OUT013,Supermarket Type1,595.2252
Small,Tier 2,Low Fat,0.036346224,Frozen Foods,72.9696,OUT035,Supermarket Type1,596.5568
High,Tier 3,Regular,0.121531501,Baking Goods,59.222,OUT013,Supermarket Type1,599.22
High,Tier 3,Low Fat,0.025842905,Starchy Foods,119.844,OUT013,Supermarket Type1,599.22
Small,Tier 2,Low Fat,0.057302606,Snack Foods,53.3956,OUT035,Supermarket Type1,600.5516
Small,Tier 1,Low Fat,0.090295708,Household,84.6882,OUT046,Supermarket Type1,601.2174
Medium,Tier 3,Low Fat,0.071548187,Frozen Foods,120.2098,OUT018,Supermarket Type2,602.549
High,Tier 3,Low Fat,0.026163192,Household,121.5098,OUT013,Supermarket Type1,602.549
Small,Tier 1,Low Fat,0.099325278,Household,45.406,OUT046,Supermarket Type1,605.878
Small,Tier 2,Low Fat,0.047888606,Health and Hygiene,42.277,OUT035,Supermarket Type1,605.878
High,Tier 3,Low Fat,0.03067808,Hard Drinks,44.777,OUT013,Supermarket Type1,605.878
High,Tier 3,Regular,0.064153845,Fruits and Vegetables,76.9012,OUT013,Supermarket Type1,607.2096
Small,Tier 2,Low Fat,0.055908268,Baking Goods,99.8016,OUT035,Supermarket Type1,607.2096
Small,Tier 1,Low Fat,0.165838224,Dairy,36.6506,OUT046,Supermarket Type1,607.2096
Small,Tier 2,Low Fat,0.026604781,Snack Foods,86.2198,OUT035,Supermarket Type1,610.5386
Medium,Tier 1,Regular,0.083059634,Frozen Foods,35.7558,OUT049,Supermarket Type1,611.2044
Small,Tier 2,Regular,0.017547958,Meat,48.3718,OUT035,Supermarket Type1,614.5334
